freq_hz,diff_nette_dB
20.508,-0.0774
21.973,-0.0825
23.438,-0.0880
24.902,-0.0882
26.367,-0.0828
27.832,-0.0820
29.297,-0.0829
30.762,-0.0794
32.227,-0.0740
33.691,-0.0768
35.156,-0.0767
36.621,-0.0706
38.086,-0.0690
39.551,-0.0741
41.016,-0.0651
42.480,-0.0684
43.945,-0.0767
45.410,-0.0767
46.875,-0.0709
48.340,-0.0708
49.805,-0.0771
51.270,-0.0752
52.734,-0.0824
54.199,-0.0773
55.664,-0.0819
57.129,-0.0821
58.594,-0.0812
60.059,-0.0810
61.523,-0.0777
62.988,-0.0832
64.453,-0.0807
65.918,-0.0725
67.383,-0.0777
68.848,-0.0771
70.312,-0.0758
71.777,-0.0748
73.242,-0.0777
74.707,-0.0749
76.172,-0.0778
77.637,-0.0834
79.102,-0.0788
80.566,-0.0727
82.031,-0.0749
83.496,-0.0719
84.961,-0.0779
86.426,-0.0846
87.891,-0.0791
89.355,-0.0795
90.820,-0.0799
92.285,-0.0698
93.750,-0.0659
95.215,-0.0623
96.680,-0.0675
98.145,-0.0768
99.609,-0.0808
101.074,-0.0708
102.539,-0.0730
104.004,-0.0724
105.469,-0.0788
106.934,-0.0752
108.398,-0.0748
109.863,-0.0965
111.328,-0.0797
112.793,-0.0751
114.258,-0.0739
115.723,-0.0730
117.188,-0.0771
118.652,-0.0729
120.117,-0.0602
121.582,-0.0760
123.047,-0.0797
124.512,-0.0806
125.977,-0.0744
127.441,-0.0759
128.906,-0.0866
130.371,-0.0838
131.836,-0.0750
133.301,-0.0786
134.766,-0.0800
136.230,-0.0765
137.695,-0.0712
139.160,-0.0919
140.625,-0.0960
142.090,-0.0842
143.555,-0.0815
145.020,-0.0755
146.484,-0.0707
147.949,-0.0734
149.414,-0.0685
150.879,-0.0796
152.344,-0.0761
153.809,-0.0708
155.273,-0.0775
156.738,-0.0874
158.203,-0.0807
159.668,-0.0726
161.133,-0.0723
162.598,-0.0683
164.062,-0.0739
165.527,-0.0750
166.992,-0.0677
168.457,-0.0766
169.922,-0.0811
171.387,-0.0828
172.852,-0.0836
174.316,-0.0828
175.781,-0.0805
177.246,-0.0803
178.711,-0.0720
180.176,-0.0856
181.641,-0.0770
183.105,-0.0807
184.570,-0.0878
