freq_hz,gain_dB,coherence
20.508,-54.8125,0.9997
21.973,-54.7878,0.9997
23.438,-54.7620,0.9997
24.902,-54.7497,0.9997
26.367,-54.7413,0.9999
27.832,-54.7153,0.9998
29.297,-54.7316,0.9998
30.762,-54.7103,0.9999
32.227,-54.7056,0.9998
33.691,-54.7086,0.9999
35.156,-54.6750,0.9998
36.621,-54.7030,0.9999
38.086,-54.6667,0.9998
39.551,-54.6863,0.9999
41.016,-54.6836,0.9998
42.480,-54.6637,0.9999
43.945,-54.7073,0.9999
45.410,-54.6358,0.9999
46.875,-54.6933,1.0000
48.340,-54.6759,0.9998
49.805,-54.6376,1.0000
51.270,-54.6966,0.9999
52.734,-54.6369,0.9999
54.199,-54.6362,1.0000
55.664,-54.6910,0.9999
57.129,-54.6380,0.9998
58.594,-54.6229,0.9999
60.059,-54.6789,0.9999
61.523,-54.6590,0.9998
62.988,-54.6089,0.9999
64.453,-54.6517,1.0000
65.918,-54.6889,0.9999
67.383,-54.6290,0.9998
68.848,-54.6152,0.9999
70.312,-54.6577,1.0000
71.777,-54.6843,0.9999
73.242,-54.6241,0.9999
74.707,-54.6169,1.0000
76.172,-54.6500,1.0000
77.637,-54.6793,0.9999
79.102,-54.6355,0.9998
80.566,-54.6044,0.9999
82.031,-54.6362,1.0000
83.496,-54.6697,1.0000
84.961,-54.6704,0.9999
86.426,-54.5963,0.9999
87.891,-54.6068,1.0000
89.355,-54.6428,1.0000
90.820,-54.6705,0.9999
92.285,-54.6704,0.9999
93.750,-54.6086,0.9999
95.215,-54.6113,1.0000
96.680,-54.6400,1.0000
98.145,-54.6596,1.0000
99.609,-54.6752,0.9999
101.074,-54.6328,0.9998
102.539,-54.6012,0.9999
104.004,-54.6198,1.0000
105.469,-54.6384,1.0000
106.934,-54.6649,1.0000
108.398,-54.6707,0.9999
109.863,-54.6042,0.9998
111.328,-54.5935,0.9999
112.793,-54.6158,1.0000
114.258,-54.6387,1.0000
115.723,-54.6618,1.0000
117.188,-54.6728,0.9999
118.652,-54.6477,0.9997
120.117,-54.6068,0.9995
121.582,-54.5992,0.9999
123.047,-54.6174,1.0000
124.512,-54.6408,1.0000
125.977,-54.6628,1.0000
127.441,-54.6683,0.9999
128.906,-54.6224,0.9998
130.371,-54.5884,0.9999
131.836,-54.5979,0.9999
133.301,-54.6108,1.0000
134.766,-54.6322,1.0000
136.230,-54.6539,1.0000
137.695,-54.6687,0.9999
139.160,-54.6418,0.9998
140.625,-54.6027,0.9997
142.090,-54.5856,0.9999
143.555,-54.5950,1.0000
145.020,-54.6173,1.0000
146.484,-54.6408,1.0000
147.949,-54.6588,1.0000
149.414,-54.6626,0.9999
150.879,-54.6478,0.9998
152.344,-54.6070,0.9998
153.809,-54.5918,0.9999
155.273,-54.5927,0.9999
156.738,-54.6000,1.0000
158.203,-54.6199,1.0000
159.668,-54.6391,0.9999
161.133,-54.6556,0.9999
162.598,-54.6645,0.9999
164.062,-54.6392,0.9998
165.527,-54.6098,0.9998
166.992,-54.5981,0.9999
168.457,-54.5932,0.9999
169.922,-54.6028,1.0000
171.387,-54.6194,1.0000
172.852,-54.6346,1.0000
174.316,-54.6497,1.0000
175.781,-54.6551,0.9999
177.246,-54.6561,0.9998
178.711,-54.6331,0.9997
180.176,-54.6001,0.9997
181.641,-54.6008,0.9999
183.105,-54.5963,0.9999
184.570,-54.6020,1.0000
186.035,-54.6183,1.0000
187.500,-54.6336,1.0000
188.965,-54.6455,1.0000
190.430,-54.6581,0.9999
191.895,-54.6573,0.9999
193.359,-54.6479,0.9998
194.824,-54.6162,0.9998
196.289,-54.5904,0.9999
197.754,-54.5878,0.9999
199.219,-54.5956,0.9999
200.684,-54.6029,1.0000
202.148,-54.6122,1.0000
203.613,-54.6262,1.0000
205.078,-54.6407,1.0000
206.543,-54.6558,0.9999
208.008,-54.6642,0.9999
209.473,-54.6454,0.9998
210.938,-54.6146,0.9998
212.402,-54.5988,0.9998
213.867,-54.5870,0.9999
215.332,-54.5875,0.9999
216.797,-54.5955,1.0000
218.262,-54.6025,1.0000
219.727,-54.6181,0.9999
221.191,-54.6306,1.0000
222.656,-54.6453,1.0000
224.121,-54.6539,0.9999
225.586,-54.6558,0.9999
227.051,-54.6470,0.9998
228.516,-54.6176,0.9998
229.980,-54.5881,0.9998
231.445,-54.5825,0.9999
232.910,-54.5820,0.9999
234.375,-54.5879,0.9999
235.840,-54.6023,0.9999
237.305,-54.6144,1.0000
238.770,-54.6210,0.9998
240.234,-54.6299,0.9997
241.699,-54.6416,0.9999
243.164,-54.6520,0.9999
244.629,-54.6540,0.9999
246.094,-54.6389,0.9998
247.559,-54.6266,0.9998
249.023,-54.6002,0.9998
250.488,-54.5919,0.9999
251.953,-54.5857,0.9999
253.418,-54.5810,0.9999
254.883,-54.5928,0.9999
256.348,-54.6049,1.0000
257.812,-54.6162,1.0000
259.277,-54.6295,0.9999
260.742,-54.6428,0.9999
262.207,-54.6522,1.0000
263.672,-54.6517,0.9999
265.137,-54.6523,0.9999
266.602,-54.6452,0.9998
268.066,-54.6431,0.9998
269.531,-54.6006,0.9998
270.996,-54.5931,0.9998
272.461,-54.5982,0.9999
273.926,-54.5872,0.9999
275.391,-54.5905,0.9999
276.855,-54.5993,1.0000
278.320,-54.6108,0.9999
279.785,-54.6222,0.9999
281.250,-54.6325,1.0000
282.715,-54.6387,1.0000
284.180,-54.6363,1.0000
285.645,-54.6381,0.9999
287.109,-54.6527,0.9999
288.574,-54.6537,0.9999
290.039,-54.6506,0.9998
291.504,-54.6165,0.9998
292.969,-54.5950,0.9998
294.434,-54.5957,0.9998
295.898,-54.5938,0.9998
297.363,-54.5794,0.9999
298.828,-54.5725,0.9999
300.293,-54.5721,0.9998
301.758,-54.5863,0.9999
303.223,-54.5973,1.0000
304.688,-54.6145,1.0000
306.152,-54.6266,0.9999
307.617,-54.6325,0.9999
309.082,-54.6398,0.9999
310.547,-54.6440,0.9999
312.012,-54.6518,0.9999
313.477,-54.6453,0.9998
314.941,-54.6560,0.9998
316.406,-54.6386,0.9998
317.871,-54.6262,0.9998
319.336,-54.5974,0.9998
320.801,-54.5859,0.9998
322.266,-54.5782,0.9999
323.730,-54.5848,0.9999
325.195,-54.5935,0.9999
326.660,-54.5991,0.9999
328.125,-54.6019,0.9999
329.590,-54.6063,0.9999
331.055,-54.6134,1.0000
332.520,-54.6253,1.0000
333.984,-54.6387,0.9999
335.449,-54.6520,0.9999
336.914,-54.6537,0.9999
338.379,-54.6475,0.9999
339.844,-54.6448,0.9998
341.309,-54.6562,0.9998
342.773,-54.6465,0.9998
344.238,-54.6184,0.9998
345.703,-54.6108,0.9998
347.168,-54.5854,0.9998
348.633,-54.5674,0.9999
350.098,-54.5800,0.9999
351.562,-54.5827,0.9999
353.027,-54.5887,0.9999
354.492,-54.5997,1.0000
355.957,-54.6060,1.0000
357.422,-54.6156,1.0000
358.887,-54.6266,0.9998
360.352,-54.6329,0.9997
361.816,-54.6390,0.9999
363.281,-54.6492,0.9999
364.746,-54.6477,0.9999
366.211,-54.6489,0.9999
367.676,-54.6587,0.9999
369.141,-54.6511,0.9998
370.605,-54.6431,0.9998
372.070,-54.6288,0.9998
373.535,-54.6143,0.9998
375.000,-54.6048,0.9998
376.465,-54.5942,0.9998
377.930,-54.5735,0.9998
379.395,-54.5693,0.9998
380.859,-54.5811,0.9999
382.324,-54.5804,0.9999
383.789,-54.5854,0.9999
385.254,-54.5963,0.9999
386.719,-54.6037,0.9999
388.184,-54.6163,1.0000
389.648,-54.6244,0.9999
391.113,-54.6236,0.9999
392.578,-54.6239,0.9999
394.043,-54.6299,0.9999
395.508,-54.6350,0.9999
396.973,-54.6357,0.9999
398.438,-54.6316,0.9998
399.902,-54.6454,0.9998
401.367,-54.6387,0.9998
402.832,-54.6312,0.9998
404.297,-54.6170,0.9998
405.762,-54.6063,0.9998
407.227,-54.5960,0.9998
408.691,-54.5839,0.9998
410.156,-54.5773,0.9998
411.621,-54.5737,0.9999
413.086,-54.5797,0.9999
414.551,-54.5815,0.9999
416.016,-54.5900,0.9999
417.480,-54.5992,0.9999
418.945,-54.6074,0.9999
420.410,-54.6029,0.9998
421.875,-54.6042,0.9999
423.340,-54.6166,0.9999
424.805,-54.6211,0.9999
426.270,-54.6246,0.9999
427.734,-54.6297,0.9999
429.199,-54.6356,0.9999
430.664,-54.6407,0.9999
432.129,-54.6470,0.9999
433.594,-54.6483,0.9998
435.059,-54.6462,0.9998
436.523,-54.6419,0.9998
437.988,-54.6190,0.9998
439.453,-54.6067,0.9997
440.918,-54.6207,0.9997
442.383,-54.5993,0.9998
443.848,-54.5890,0.9998
445.312,-54.5677,0.9998
446.777,-54.5589,0.9999
448.242,-54.5709,0.9999
449.707,-54.5819,0.9999
451.172,-54.5766,0.9999
452.637,-54.5758,0.9999
454.102,-54.5946,0.9999
455.566,-54.6098,1.0000
457.031,-54.6068,0.9999
458.496,-54.6016,0.9999
459.961,-54.6094,0.9999
461.426,-54.6228,0.9999
462.891,-54.6292,0.9999
464.355,-54.6359,0.9999
465.820,-54.6464,0.9999
467.285,-54.6459,0.9999
468.750,-54.6448,0.9999
470.215,-54.6519,0.9999
471.680,-54.6604,0.9998
473.145,-54.6535,0.9998
474.609,-54.6418,0.9998
476.074,-54.6162,0.9998
477.539,-54.6103,0.9997
479.004,-54.6118,0.9983
480.469,-54.5932,0.9987
481.934,-54.5779,0.9998
483.398,-54.5702,0.9998
484.863,-54.5906,0.9999
486.328,-54.5798,0.9999
487.793,-54.5759,0.9999
489.258,-54.5830,0.9999
490.723,-54.5825,0.9999
492.188,-54.5840,0.9999
493.652,-54.5932,0.9999
495.117,-54.6049,0.9999
496.582,-54.6100,0.9999
498.047,-54.6139,0.9999
499.512,-54.6197,0.9999
500.977,-54.6286,0.9999
502.441,-54.6378,0.9999
503.906,-54.6394,0.9999
505.371,-54.6378,0.9999
506.836,-54.6371,0.9999
508.301,-54.6459,0.9999
509.766,-54.6594,0.9998
511.230,-54.6554,0.9998
512.695,-54.6450,0.9998
514.160,-54.6338,0.9998
515.625,-54.6239,0.9998
517.090,-54.6137,0.9998
518.555,-54.6104,0.9997
520.020,-54.5857,0.9997
521.484,-54.5781,0.9998
522.949,-54.5790,0.9998
524.414,-54.5802,0.9999
525.879,-54.5891,0.9998
527.344,-54.5726,0.9999
528.809,-54.5726,0.9999
530.273,-54.5826,0.9999
531.738,-54.5854,0.9999
533.203,-54.5881,0.9999
534.668,-54.5944,0.9999
536.133,-54.6025,0.9999
537.598,-54.6067,0.9999
539.062,-54.6154,0.9998
540.527,-54.6208,0.9998
541.992,-54.6171,0.9999
543.457,-54.6175,0.9999
544.922,-54.6283,0.9999
546.387,-54.6399,0.9999
547.852,-54.6357,0.9999
549.316,-54.6382,0.9999
550.781,-54.6451,0.9999
552.246,-54.6454,0.9999
553.711,-54.6425,0.9999
555.176,-54.6442,0.9998
556.641,-54.6586,0.9998
558.105,-54.6479,0.9997
559.570,-54.6385,0.9997
561.035,-54.6302,0.9997
562.500,-54.6028,0.9997
563.965,-54.5958,0.9998
565.430,-54.5940,0.9998
566.895,-54.5714,0.9998
568.359,-54.5606,0.9998
569.824,-54.5595,0.9998
571.289,-54.5711,0.9999
572.754,-54.5676,0.9999
574.219,-54.5707,0.9999
575.684,-54.5877,0.9999
577.148,-54.5930,0.9999
578.613,-54.5998,0.9999
580.078,-54.6008,0.9999
581.543,-54.6000,0.9999
583.008,-54.6096,0.9999
584.473,-54.6160,0.9999
585.938,-54.6168,0.9999
587.402,-54.6156,0.9999
588.867,-54.6214,0.9999
590.332,-54.6290,0.9999
591.797,-54.6261,0.9999
593.262,-54.6263,0.9999
594.727,-54.6318,0.9999
596.191,-54.6302,0.9999
597.656,-54.6463,0.9997
599.121,-54.7039,0.9984
600.586,-54.6833,0.9989
602.051,-54.6398,0.9998
603.516,-54.6252,0.9998
604.980,-54.6435,0.9998
606.445,-54.6431,0.9997
607.910,-54.6008,0.9997
609.375,-54.5960,0.9998
610.840,-54.5892,0.9998
612.305,-54.5809,0.9998
613.770,-54.5843,0.9998
615.234,-54.5844,0.9998
616.699,-54.5745,0.9998
618.164,-54.5707,0.9998
619.629,-54.5664,0.9998
621.094,-54.5764,0.9999
622.559,-54.5775,0.9999
624.023,-54.5735,0.9999
625.488,-54.5799,0.9999
626.953,-54.5945,0.9999
628.418,-54.5955,0.9999
629.883,-54.5968,0.9999
631.348,-54.5958,0.9999
632.812,-54.5977,0.9999
634.277,-54.6023,0.9999
635.742,-54.6072,0.9999
637.207,-54.6154,0.9999
638.672,-54.6211,0.9999
640.137,-54.6185,0.9999
641.602,-54.6225,0.9999
643.066,-54.6238,0.9999
644.531,-54.6208,0.9999
645.996,-54.6285,0.9999
647.461,-54.6279,0.9999
648.926,-54.6377,0.9999
650.391,-54.6468,0.9998
651.855,-54.6416,0.9998
653.320,-54.6377,0.9998
654.785,-54.6322,0.9998
656.250,-54.6433,0.9998
657.715,-54.6303,0.9997
659.180,-54.6236,0.9996
660.645,-54.6300,0.9995
662.109,-54.6192,0.9997
663.574,-54.6053,0.9997
665.039,-54.5920,0.9997
666.504,-54.5819,0.9997
667.969,-54.5878,0.9998
669.434,-54.5836,0.9998
670.898,-54.5727,0.9998
672.363,-54.5675,0.9999
673.828,-54.5728,0.9998
675.293,-54.5728,0.9999
676.758,-54.5878,0.9999
678.223,-54.5990,0.9999
679.688,-54.5943,0.9999
681.152,-54.5944,0.9999
682.617,-54.5945,0.9999
684.082,-54.5970,0.9999
685.547,-54.5997,0.9999
687.012,-54.5958,0.9999
688.477,-54.5954,0.9999
689.941,-54.5996,0.9999
691.406,-54.6067,0.9999
692.871,-54.6173,0.9999
694.336,-54.6237,0.9999
695.801,-54.6290,0.9999
697.266,-54.6329,0.9999
698.730,-54.6337,0.9999
