freq_hz,gain_dB,coherence
20.508,-54.8899,0.9997
21.973,-54.8703,0.9997
23.438,-54.8500,0.9997
24.902,-54.8379,0.9997
26.367,-54.8241,0.9999
27.832,-54.7973,0.9998
29.297,-54.8145,0.9998
30.762,-54.7897,0.9999
32.227,-54.7796,0.9998
33.691,-54.7854,0.9999
35.156,-54.7517,0.9998
36.621,-54.7736,0.9999
38.086,-54.7357,0.9998
39.551,-54.7604,0.9999
41.016,-54.7487,0.9998
42.480,-54.7321,1.0000
43.945,-54.7840,0.9999
45.410,-54.7125,0.9999
46.875,-54.7642,0.9999
48.340,-54.7467,0.9998
49.805,-54.7147,0.9999
51.270,-54.7718,0.9999
52.734,-54.7193,0.9998
54.199,-54.7135,1.0000
55.664,-54.7729,0.9999
57.129,-54.7201,0.9999
58.594,-54.7041,0.9999
60.059,-54.7599,0.9999
61.523,-54.7367,0.9998
62.988,-54.6921,0.9999
64.453,-54.7324,1.0000
65.918,-54.7614,0.9999
67.383,-54.7067,0.9998
68.848,-54.6923,1.0000
70.312,-54.7335,1.0000
71.777,-54.7591,0.9999
73.242,-54.7018,0.9999
74.707,-54.6918,1.0000
76.172,-54.7278,1.0000
77.637,-54.7627,0.9999
79.102,-54.7143,0.9998
80.566,-54.6771,0.9999
82.031,-54.7111,1.0000
83.496,-54.7416,1.0000
84.961,-54.7483,0.9999
86.426,-54.6809,0.9999
87.891,-54.6859,1.0000
89.355,-54.7223,1.0000
90.820,-54.7504,0.9999
92.285,-54.7402,0.9999
93.750,-54.6745,0.9998
95.215,-54.6736,1.0000
96.680,-54.7075,1.0000
98.145,-54.7364,1.0000
99.609,-54.7560,0.9999
101.074,-54.7036,0.9998
102.539,-54.6742,0.9999
104.004,-54.6922,1.0000
105.469,-54.7172,1.0000
106.934,-54.7401,1.0000
108.398,-54.7455,0.9999
109.863,-54.7007,0.9998
111.328,-54.6732,0.9999
112.793,-54.6909,1.0000
114.258,-54.7126,1.0000
115.723,-54.7348,1.0000
117.188,-54.7499,0.9999
118.652,-54.7206,0.9997
120.117,-54.6670,0.9996
121.582,-54.6752,0.9999
123.047,-54.6971,1.0000
124.512,-54.7214,1.0000
125.977,-54.7372,1.0000
127.441,-54.7442,0.9999
128.906,-54.7090,0.9998
130.371,-54.6722,0.9999
131.836,-54.6729,0.9999
133.301,-54.6894,1.0000
134.766,-54.7122,1.0000
136.230,-54.7304,1.0000
137.695,-54.7399,0.9999
139.160,-54.7337,0.9997
140.625,-54.6987,0.9998
142.090,-54.6698,0.9999
143.555,-54.6765,1.0000
145.020,-54.6928,1.0000
146.484,-54.7115,1.0000
147.949,-54.7322,1.0000
149.414,-54.7311,0.9999
150.879,-54.7274,0.9998
152.344,-54.6831,0.9998
153.809,-54.6626,0.9999
155.273,-54.6702,1.0000
156.738,-54.6874,1.0000
158.203,-54.7006,1.0000
159.668,-54.7117,0.9999
161.133,-54.7279,0.9999
162.598,-54.7328,0.9999
164.062,-54.7131,0.9998
165.527,-54.6848,0.9998
166.992,-54.6658,0.9999
168.457,-54.6698,0.9999
169.922,-54.6839,1.0000
171.387,-54.7022,1.0000
172.852,-54.7182,1.0000
174.316,-54.7325,1.0000
175.781,-54.7356,0.9999
177.246,-54.7364,0.9999
178.711,-54.7051,0.9997
180.176,-54.6857,0.9997
181.641,-54.6778,0.9999
183.105,-54.6770,0.9999
184.570,-54.6898,1.0000
186.035,-54.7026,1.0000
187.500,-54.7137,1.0000
188.965,-54.7289,1.0000
190.430,-54.7402,0.9999
191.895,-54.7292,0.9999
193.359,-54.7160,0.9998
194.824,-54.6891,0.9998
196.289,-54.6816,0.9999
197.754,-54.6700,0.9999
199.219,-54.6722,1.0000
200.684,-54.6833,1.0000
202.148,-54.6957,1.0000
203.613,-54.7098,1.0000
205.078,-54.7236,1.0000
206.543,-54.7330,0.9999
208.008,-54.7365,0.9999
209.473,-54.7301,0.9998
210.938,-54.6945,0.9998
212.402,-54.6686,0.9998
213.867,-54.6619,0.9999
215.332,-54.6626,0.9999
216.797,-54.6667,1.0000
218.262,-54.6879,1.0000
219.727,-54.7055,0.9999
221.191,-54.7160,1.0000
222.656,-54.7290,1.0000
224.121,-54.7473,0.9999
225.586,-54.7336,0.9999
227.051,-54.7200,0.9998
228.516,-54.7013,0.9998
229.980,-54.6742,0.9998
231.445,-54.6644,0.9999
232.910,-54.6547,0.9999
234.375,-54.6641,0.9999
235.840,-54.6728,1.0000
237.305,-54.6870,1.0000
238.770,-54.6886,0.9999
240.234,-54.6974,0.9998
241.699,-54.7222,0.9999
243.164,-54.7288,0.9999
244.629,-54.7276,0.9999
246.094,-54.7107,0.9998
247.559,-54.6972,0.9998
249.023,-54.6860,0.9998
250.488,-54.6622,0.9998
251.953,-54.6599,0.9999
253.418,-54.6695,0.9999
254.883,-54.6735,1.0000
256.348,-54.6847,1.0000
257.812,-54.6876,1.0000
259.277,-54.6895,0.9999
260.742,-54.7091,0.9999
262.207,-54.7234,0.9999
263.672,-54.7280,0.9999
265.137,-54.7364,0.9999
266.602,-54.7154,0.9998
268.066,-54.7047,0.9998
269.531,-54.6939,0.9998
270.996,-54.6746,0.9998
272.461,-54.6757,0.9999
273.926,-54.6724,0.9999
275.391,-54.6745,0.9999
276.855,-54.6780,0.9999
278.320,-54.6827,0.9999
279.785,-54.6865,0.9999
281.250,-54.6985,1.0000
282.715,-54.7079,1.0000
284.180,-54.7171,0.9999
285.645,-54.7286,0.9999
287.109,-54.7322,0.9999
288.574,-54.7282,0.9999
290.039,-54.7262,0.9998
291.504,-54.7049,0.9998
292.969,-54.6736,0.9998
294.434,-54.6719,0.9998
295.898,-54.6622,0.9999
297.363,-54.6623,0.9999
298.828,-54.6590,0.9998
300.293,-54.6586,0.9998
301.758,-54.6779,0.9999
303.223,-54.6882,1.0000
304.688,-54.6910,1.0000
306.152,-54.6951,1.0000
307.617,-54.7013,0.9999
309.082,-54.7151,0.9999
310.547,-54.7259,0.9999
312.012,-54.7253,0.9999
313.477,-54.7203,0.9998
314.941,-54.7254,0.9998
316.406,-54.7130,0.9998
317.871,-54.6960,0.9998
319.336,-54.6736,0.9998
320.801,-54.6487,0.9999
322.266,-54.6516,0.9999
323.730,-54.6618,0.9999
325.195,-54.6674,0.9999
326.660,-54.6761,0.9999
328.125,-54.6854,1.0000
329.590,-54.6943,0.9999
331.055,-54.6978,1.0000
332.520,-54.7050,1.0000
333.984,-54.7137,0.9999
335.449,-54.7199,0.9999
336.914,-54.7207,0.9999
338.379,-54.7195,0.9999
339.844,-54.7271,0.9998
341.309,-54.7241,0.9998
342.773,-54.7023,0.9998
344.238,-54.6940,0.9998
345.703,-54.6775,0.9998
347.168,-54.6670,0.9998
348.633,-54.6462,0.9999
350.098,-54.6489,0.9999
351.562,-54.6647,0.9999
353.027,-54.6665,0.9999
354.492,-54.6741,0.9999
355.957,-54.6839,1.0000
357.422,-54.6924,1.0000
358.887,-54.7014,0.9998
360.352,-54.7080,0.9997
361.816,-54.7176,0.9999
363.281,-54.7241,0.9999
364.746,-54.7243,0.9999
366.211,-54.7347,0.9999
367.676,-54.7404,0.9999
369.141,-54.7110,0.9998
370.605,-54.7047,0.9998
372.070,-54.7046,0.9998
373.535,-54.6853,0.9998
375.000,-54.6623,0.9998
376.465,-54.6630,0.9998
377.930,-54.6455,0.9998
379.395,-54.6431,0.9999
380.859,-54.6622,0.9999
382.324,-54.6711,0.9999
383.789,-54.6733,0.9999
385.254,-54.6799,0.9999
386.719,-54.6895,1.0000
388.184,-54.6950,0.9999
389.648,-54.6960,0.9999
391.113,-54.7017,0.9999
392.578,-54.7121,0.9999
394.043,-54.7169,0.9999
395.508,-54.7161,0.9999
396.973,-54.7188,0.9999
398.438,-54.7257,0.9999
399.902,-54.7230,0.9998
401.367,-54.7208,0.9998
402.832,-54.6929,0.9998
404.297,-54.6909,0.9998
405.762,-54.6760,0.9998
407.227,-54.6700,0.9998
408.691,-54.6615,0.9998
410.156,-54.6565,0.9998
411.621,-54.6679,0.9999
413.086,-54.6634,0.9999
414.551,-54.6708,0.9999
