freq_hz,diff_nette_dB
20.508,-0.0742
21.973,-0.0744
23.438,-0.0746
24.902,-0.0744
26.367,-0.0742
27.832,-0.0748
29.297,-0.0737
30.762,-0.0743
32.227,-0.0743
33.691,-0.0735
35.156,-0.0749
36.621,-0.0732
38.086,-0.0750
39.551,-0.0737
41.016,-0.0739
42.480,-0.0748
43.945,-0.0719
45.410,-0.0760
46.875,-0.0725
48.340,-0.0738
49.805,-0.0753
51.270,-0.0715
52.734,-0.0749
54.199,-0.0754
55.664,-0.0716
57.129,-0.0750
58.594,-0.0760
60.059,-0.0721
61.523,-0.0731
62.988,-0.0765
64.453,-0.0735
65.918,-0.0711
67.383,-0.0752
68.848,-0.0759
70.312,-0.0728
71.777,-0.0713
73.242,-0.0761
74.707,-0.0761
76.172,-0.0733
77.637,-0.0711
79.102,-0.0746
80.566,-0.0768
82.031,-0.0744
83.496,-0.0719
84.961,-0.0715
86.426,-0.0764
87.891,-0.0761
89.355,-0.0738
90.820,-0.0716
92.285,-0.0717
93.750,-0.0765
95.215,-0.0765
96.680,-0.0743
98.145,-0.0723
99.609,-0.0710
101.074,-0.0748
102.539,-0.0771
104.004,-0.0753
105.469,-0.0734
106.934,-0.0714
108.398,-0.0710
109.863,-0.0751
111.328,-0.0769
112.793,-0.0754
114.258,-0.0736
115.723,-0.0718
117.188,-0.0708
118.652,-0.0734
120.117,-0.0770
121.582,-0.0765
123.047,-0.0751
124.512,-0.0731
125.977,-0.0717
127.441,-0.0710
128.906,-0.0739
130.371,-0.0770
131.836,-0.0765
133.301,-0.0752
134.766,-0.0733
136.230,-0.0719
137.695,-0.0709
139.160,-0.0719
140.625,-0.0757
142.090,-0.0769
143.555,-0.0761
145.020,-0.0747
146.484,-0.0732
147.949,-0.0718
149.414,-0.0710
150.879,-0.0719
152.344,-0.0753
153.809,-0.0772
155.273,-0.0767
156.738,-0.0755
158.203,-0.0741
159.668,-0.0728
161.133,-0.0715
162.598,-0.0712
164.062,-0.0728
165.527,-0.0758
166.992,-0.0771
168.457,-0.0769
169.922,-0.0758
171.387,-0.0743
172.852,-0.0731
174.316,-0.0717
175.781,-0.0712
177.246,-0.0717
178.711,-0.0739
180.176,-0.0764
181.641,-0.0771
183.105,-0.0768
184.570,-0.0756
186.035,-0.0744
187.500,-0.0732
188.965,-0.0721
190.430,-0.0712
191.895,-0.0716
193.359,-0.0730
194.824,-0.0754
196.289,-0.0769
197.754,-0.0772
199.219,-0.0765
200.684,-0.0754
202.148,-0.0744
203.613,-0.0732
205.078,-0.0722
206.543,-0.0712
208.008,-0.0714
209.473,-0.0726
210.938,-0.0746
212.402,-0.0764
213.867,-0.0772
215.332,-0.0768
216.797,-0.0759
218.262,-0.0749
219.727,-0.0739
221.191,-0.0728
222.656,-0.0719
224.121,-0.0711
225.586,-0.0710
227.051,-0.0721
228.516,-0.0739
229.980,-0.0757
231.445,-0.0769
232.910,-0.0770
234.375,-0.0763
235.840,-0.0755
237.305,-0.0744
238.770,-0.0737
240.234,-0.0727
241.699,-0.0718
243.164,-0.0712
244.629,-0.0710
246.094,-0.0719
247.559,-0.0735
249.023,-0.0752
250.488,-0.0766
251.953,-0.0772
253.418,-0.0769
254.883,-0.0762
256.348,-0.0754
257.812,-0.0745
259.277,-0.0735
260.742,-0.0726
262.207,-0.0717
263.672,-0.0712
265.137,-0.0709
266.602,-0.0715
268.066,-0.0728
269.531,-0.0744
270.996,-0.0758
272.461,-0.0768
273.926,-0.0768
275.391,-0.0765
276.855,-0.0758
278.320,-0.0749
279.785,-0.0742
281.250,-0.0734
282.715,-0.0726
284.180,-0.0718
285.645,-0.0711
287.109,-0.0709
288.574,-0.0711
290.039,-0.0720
291.504,-0.0733
292.969,-0.0749
294.434,-0.0763
295.898,-0.0769
297.363,-0.0770
298.828,-0.0767
300.293,-0.0761
301.758,-0.0754
303.223,-0.0746
304.688,-0.0739
306.152,-0.0731
307.617,-0.0724
309.082,-0.0717
310.547,-0.0711
312.012,-0.0711
313.477,-0.0714
314.941,-0.0722
316.406,-0.0735
317.871,-0.0750
319.336,-0.0761
320.801,-0.0769
322.266,-0.0771
323.730,-0.0769
325.195,-0.0763
