freq_hz,gain_dB,coherence
20.508,-10.9429,0.9997
21.973,-10.9227,0.9998
23.438,-10.9024,0.9997
24.902,-10.8925,0.9998
26.367,-10.8805,0.9999
27.832,-10.8544,0.9998
29.297,-10.8674,0.9998
30.762,-10.8442,0.9999
32.227,-10.8366,0.9998
33.691,-10.8433,0.9999
35.156,-10.8125,0.9998
36.621,-10.8366,1.0000
38.086,-10.8034,0.9998
39.551,-10.8213,1.0000
41.016,-10.8164,0.9998
42.480,-10.7950,1.0000
43.945,-10.8380,0.9999
45.410,-10.7695,0.9999
46.875,-10.8214,1.0000
48.340,-10.8001,0.9999
49.805,-10.7713,1.0000
51.270,-10.8290,1.0000
52.734,-10.7754,0.9999
54.199,-10.7716,1.0000
55.664,-10.8241,1.0000
57.129,-10.7757,0.9999
58.594,-10.7612,1.0000
60.059,-10.8120,1.0000
61.523,-10.7976,0.9999
62.988,-10.7497,1.0000
64.453,-10.7847,1.0000
65.918,-10.8179,0.9999
67.383,-10.7650,0.9999
68.848,-10.7511,1.0000
70.312,-10.7930,1.0000
71.777,-10.8150,0.9999
73.242,-10.7518,0.9999
74.707,-10.7493,1.0000
76.172,-10.7864,1.0000
77.637,-10.8116,1.0000
79.102,-10.7652,0.9999
80.566,-10.7383,1.0000
82.031,-10.7699,1.0000
83.496,-10.7979,1.0000
84.961,-10.8014,0.9999
86.426,-10.7413,0.9999
87.891,-10.7456,1.0000
89.355,-10.7730,1.0000
90.820,-10.7994,1.0000
92.285,-10.7990,0.9999
93.750,-10.7410,0.9999
95.215,-10.7411,1.0000
96.680,-10.7666,1.0000
98.145,-10.7907,1.0000
99.609,-10.8056,0.9999
101.074,-10.7611,0.9999
102.539,-10.7322,1.0000
104.004,-10.7495,1.0000
105.469,-10.7722,1.0000
106.934,-10.7948,1.0000
108.398,-10.7994,0.9999
109.863,-10.7519,0.9999
111.328,-10.7293,1.0000
112.793,-10.7458,1.0000
114.258,-10.7674,1.0000
115.723,-10.7880,1.0000
117.188,-10.8002,1.0000
118.652,-10.7707,0.9999
120.117,-10.7285,0.9999
121.582,-10.7351,1.0000
123.047,-10.7521,1.0000
124.512,-10.7743,1.0000
125.977,-10.7906,1.0000
127.441,-10.7993,0.9999
128.906,-10.7646,0.9999
130.371,-10.7273,0.9999
131.836,-10.7327,1.0000
133.301,-10.7488,1.0000
134.766,-10.7690,1.0000
136.230,-10.7859,1.0000
137.695,-10.7975,1.0000
139.160,-10.7828,0.9999
140.625,-10.7396,0.9999
142.090,-10.7270,1.0000
143.555,-10.7373,1.0000
145.020,-10.7525,1.0000
146.484,-10.7703,1.0000
147.949,-10.7850,1.0000
149.414,-10.7930,1.0000
150.879,-10.7837,0.9999
152.344,-10.7469,0.9999
153.809,-10.7283,0.9999
155.273,-10.7322,1.0000
156.738,-10.7437,1.0000
158.203,-10.7590,1.0000
159.668,-10.7739,1.0000
161.133,-10.7877,1.0000
162.598,-10.7913,0.9999
164.062,-10.7769,0.9999
165.527,-10.7443,0.9999
166.992,-10.7268,0.9999
168.457,-10.7281,1.0000
169.922,-10.7387,1.0000
171.387,-10.7544,1.0000
172.852,-10.7679,1.0000
174.316,-10.7830,1.0000
175.781,-10.7919,1.0000
177.246,-10.7879,0.9999
178.711,-10.7629,0.9999
180.176,-10.7323,0.9999
181.641,-10.7221,1.0000
183.105,-10.7268,1.0000
184.570,-10.7401,1.0000
186.035,-10.7539,1.0000
187.500,-10.7683,1.0000
188.965,-10.7823,1.0000
190.430,-10.7929,1.0000
191.895,-10.7894,0.9999
193.359,-10.7690,0.9999
194.824,-10.7410,0.9999
196.289,-10.7239,0.9999
197.754,-10.7222,1.0000
199.219,-10.7310,1.0000
200.684,-10.7445,1.0000
202.148,-10.7578,1.0000
203.613,-10.7711,1.0000
205.078,-10.7810,1.0000
206.543,-10.7883,1.0000
208.008,-10.7867,0.9999
209.473,-10.7717,0.9999
210.938,-10.7484,0.9999
212.402,-10.7295,0.9999
213.867,-10.7215,1.0000
215.332,-10.7270,1.0000
216.797,-10.7381,1.0000
218.262,-10.7485,1.0000
219.727,-10.7585,1.0000
221.191,-10.7681,1.0000
222.656,-10.7778,1.0000
224.121,-10.7855,1.0000
225.586,-10.7853,0.9999
227.051,-10.7739,0.9999
228.516,-10.7546,0.9999
229.980,-10.7364,0.9999
231.445,-10.7254,0.9999
232.910,-10.7246,1.0000
234.375,-10.7305,1.0000
235.840,-10.7372,1.0000
237.305,-10.7471,1.0000
238.770,-10.7567,1.0000
240.234,-10.7675,1.0000
241.699,-10.7765,1.0000
243.164,-10.7844,1.0000
244.629,-10.7865,0.9999
246.094,-10.7779,0.9999
247.559,-10.7628,0.9999
249.023,-10.7453,0.9999
250.488,-10.7281,0.9999
251.953,-10.7193,1.0000
253.418,-10.7218,1.0000
254.883,-10.7279,1.0000
256.348,-10.7372,1.0000
257.812,-10.7471,1.0000
259.277,-10.7571,1.0000
260.742,-10.7673,1.0000
262.207,-10.7774,1.0000
263.672,-10.7849,1.0000
265.137,-10.7895,1.0000
266.602,-10.7840,0.9999
268.066,-10.7677,0.9999
269.531,-10.7488,0.9999
270.996,-10.7308,0.9999
272.461,-10.7184,0.9999
273.926,-10.7166,1.0000
275.391,-10.7212,1.0000
276.855,-10.7285,1.0000
278.320,-10.7384,1.0000
279.785,-10.7477,1.0000
281.250,-10.7584,1.0000
282.715,-10.7679,1.0000
284.180,-10.7777,1.0000
285.645,-10.7842,1.0000
287.109,-10.7862,1.0000
288.574,-10.7838,0.9999
290.039,-10.7731,0.9999
291.504,-10.7564,0.9999
292.969,-10.7397,0.9999
294.434,-10.7254,0.9999
295.898,-10.7177,0.9999
297.363,-10.7176,1.0000
298.828,-10.7222,1.0000
300.293,-10.7301,1.0000
301.758,-10.7388,1.0000
303.223,-10.7479,1.0000
304.688,-10.7566,1.0000
